raceId,driverId,vueltas_totales,tiempo_vuelta_promedio_seg,tiempo_vuelta_mas_rapida_seg,paradas_totales,tiempo_total_boxes_seg,tiempo_promedio_parada_seg
1023,8,52,88.30509615384615,84.419,2.0,56.961,28.4805
1023,9,51,89.29380392156862,84.989,2.0,55.702,27.851
1023,20,52,87.80676923076923,82.799,3.0,88.67,29.55666666666667
1023,154,52,88.68153846153847,84.985,2.0,51.602000000000004,25.801000000000002
1023,807,53,86.50622641509433,83.641,1.0,24.092,24.092
1023,815,53,86.80126415094341,83.77,1.0,25.34,25.34
1023,817,53,86.26754716981132,83.466,1.0,24.32,24.32
1023,822,53,85.4245283018868,82.859,1.0,23.7,23.7
1023,825,43,88.61655813953489,84.443,2.0,49.378,24.689
1023,826,29,87.66196551724137,85.772,1.0,24.479,24.479
1023,830,53,86.81428301886793,83.143,2.0,55.513999999999996,27.756999999999998
1023,832,27,86.49725925925925,85.637,1.0,27.01,27.01
1023,840,52,87.41888461538461,84.165,2.0,43.257000000000005,21.628500000000003
1023,841,52,87.10717307692308,84.503,1.0,25.698,25.698
1023,842,52,87.17123076923076,83.885,1.0,24.363,24.363
1023,844,53,85.40877358490566,83.009,1.0,23.833,23.833
1023,846,52,87.13625,84.044,1.0,24.311,24.311
1023,847,52,87.83528846153847,84.842,1.0,24.198,24.198
1023,848,53,86.52792452830188,83.364,1.0,29.83,29.83
1024,1,61,116.69303278688525,104.914,1.0,28.93,28.93
1024,8,49,117.99410204081633,107.062,1.0,29.992,29.992
1024,9,61,117.38837704918033,106.793,2.0,59.354,29.677
1024,20,61,116.6174918032787,104.802,1.0,29.384,29.384
1024,154,61,117.19840983606558,106.274,2.0,73.032,36.516
1024,807,61,116.89155737704918,105.765,2.0,58.715,29.3575
1024,815,42,115.04830952380952,106.683,1.0,29.082,29.082
1024,817,61,117.23486885245902,105.915,1.0,30.756,30.756
1024,822,61,116.71780327868854,103.534,1.0,29.234,29.234
1024,825,61,118.03588524590164,102.301,2.0,60.319,30.1595
1024,826,61,117.2433606557377,104.371,2.0,63.51,31.755
1024,830,61,116.68013114754099,105.176,1.0,28.846,28.846
1024,832,61,117.20722950819672,105.969,1.0,30.623,30.623
1024,840,61,117.21452459016393,104.896,3.0,98.13,32.71
1024,841,61,116.91019672131146,105.63,2.0,58.03,29.015
1024,842,61,116.87236065573771,105.769,1.0,32.482,32.482
1024,844,61,116.66078688524591,104.723,1.0,29.168,29.168
1024,846,61,116.85960655737705,105.716,1.0,30.397,30.397
1024,847,34,111.06182352941177,108.285,1.0,38.752,38.752
1024,848,61,116.80868852459017,105.26,1.0,28.606,28.606
1025,1,53,106.01871698113207,95.761,1.0,29.751,29.751
1025,8,53,107.31890566037737,98.589,2.0,61.55,30.775
1025,9,28,110.79671428571429,102.327,2.0,60.763999999999996,30.381999999999998
1025,20,26,104.97423076923077,98.245,1.0,29.86,29.86
1025,807,53,107.1477924528302,98.519,2.0,64.05000000000001,32.025000000000006
1025,815,53,106.93811320754718,98.043,1.0,30.271,30.271
1025,817,24,109.232,101.284,1.0,36.031,36.031
1025,822,53,106.09096226415095,96.316,1.0,29.436,29.436
1025,825,53,107.03341509433962,98.13,1.0,30.509,30.509
1025,826,53,107.19788679245283,98.228,2.0,60.324,30.162
1025,830,53,106.28683018867925,96.937,1.0,29.978,29.978
1025,832,53,106.88454716981133,98.02,1.0,30.103,30.103
1025,840,53,107.16628301886792,98.611,1.0,30.168,30.168
1025,841,53,107.40260377358491,98.696,2.0,68.42,34.21
1025,842,53,107.34090566037736,98.606,1.0,29.935,29.935
1025,844,53,106.11705660377359,96.193,2.0,58.949,29.4745
1025,846,53,107.10832075471698,98.301,1.0,29.29,29.29
1025,847,27,108.81488888888889,101.705,1.0,29.857,29.857
1025,848,53,106.7422641509434,96.762,1.0,29.854,29.854
1026,1,52,94.62717307692307,90.983,2.0,47.173,23.5865
1026,8,51,97.20570588235293,93.19,2.0,47.632000000000005,23.816000000000003
1026,9,50,99.83676,96.332,2.0,49.704,24.852
1026,20,52,94.61726923076924,92.122,2.0,47.245000000000005,23.622500000000002
1026,154,51,97.34341176470589,94.988,1.0,23.478,23.478
1026,807,51,96.68196078431372,94.921,1.0,24.132,24.132
1026,815,51,96.6699019607843,92.621,2.0,46.181,23.0905
1026,817,51,96.42074509803922,93.481,1.0,23.292,23.292
1026,822,52,94.36067307692308,91.862,2.0,46.157,23.0785
1026,825,51,97.75270588235294,91.732,2.0,48.129,24.0645
1026,826,51,96.80617647058824,93.239,1.0,23.293,23.293
1026,830,14,98.43,97.249,,,
1026,832,52,95.68953846153846,93.563,1.0,23.476,23.476
1026,840,51,96.73333333333333,94.713,1.0,23.292,23.292
1026,841,51,97.70729411764707,92.369,2.0,46.763,23.3815
1026,842,51,96.66264705882352,95.321,1.0,23.18,23.18
1026,844,51,96.30845098039215,91.611,3.0,77.362,25.787333333333333
1026,846,51,96.95105882352941,94.116,2.0,49.29600000000001,24.648000000000003
1026,847,50,98.07956,95.458,1.0,23.792,23.792
1026,848,52,95.5056153846154,92.775,2.0,46.655,23.3275
1027,1,71,81.81554929577464,79.461,1.0,22.269,22.269
1027,8,58,84.40146551724138,80.082,2.0,45.717,22.8585
1027,9,69,85.07384057971015,80.696,2.0,47.176,23.588
1027,20,71,81.84042253521127,79.381,1.0,21.862,21.862
1027,154,69,84.93907246376811,81.581,1.0,24.128,24.128
1027,807,70,83.37878571428571,80.791,1.0,22.484,22.484
